AÑO,ARTICULO,GRAMOS_PERSONA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,ZONA
2025,Costo diario por familia de 3.73 miembros         ,0,82214.0,82535.0,81965.0,82425.0,82741.0,84353.0,85021.0,83598.0,83570.0,83582.0,84441.0,84026.0,Urbana
2025,Costo mensual por familia**                       ,0,2466405.0,2476051.0,2458935.0,2472745.0,2482219.0,2530582.0,2550642.0,2507931.0,2507108.0,2507472.0,2533233.0,2520790.0,Urbana
2026,,,,,,,,,,,,,,,Urbana
2026,Pan Francés                                       ,49,0.157,0.162,0.1579,0.1691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,Tortillas                                         ,223,0.2481,0.2487,0.2516,0.2539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,Arroz                                             ,55,0.0859,0.0859,0.0859,0.0861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,Carnes 1_ /                                       ,60,0.5165,0.5185,0.525,0.5326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,Grasas 2 _ /                                      ,33,0.117,0.1172,0.1186,0.1196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,Huevos                                            ,28,0.104,0.1043,0.1052,0.1052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,Leche Fluida *                                    ,106,0.1239,0.1278,0.1278,0.1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,Frutas 3_ /                                       ,157,0.1657,0.169,0.1768,0.1741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,Frijoles                                          ,79,0.214,0.2109,0.2127,0.2085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,Verduras 4_ /                                     ,127,0.2263,0.229,0.2271,0.2289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,Azúcar                                            ,69,0.0794,0.0794,0.0802,0.0797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,Costo diario por persona                          ,0,20377.0,20527.0,20688.0,20855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,más 10% (cocción)                                 ,0,22415.0,22579.0,22756.0,22941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,Costo diario por familia de 3.73 miembros         ,0,83608.0,84221.0,84882.0,85569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
2026,Costo mensual por familia**                       ,0,2508245.0,2526618.0,2546445.0,2567064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Urbana
,,,,,,,,,,,,,,,Urbana
2020,Arroz                                             ,39,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,Rural
2020,Carnes 1_ /                                       ,14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,Rural
2020,Grasas 2 _ /                                      ,14,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,Rural
2020,Huevos                                            ,30,0.09,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,Rural
2020,Leche Fluida *                                    ,31,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,Rural
2020,Frutas 3_ /                                       ,16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,Rural
2020,Frijoles                                          ,60,0.11,0.11,0.11,0.11,0.12,0.13,0.14,0.13,0.12,0.12,0.12,0.12,Rural
2020,Azúcar                                            ,65,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,Rural
2020,Costo diario por persona                          ,0,10300.0,10400.0,10400.0,10100.0,10500.0,10800.0,10400.0,10300.0,10200.0,0.99,10400.0,10100.0,Rural
2020,más 10% (cocción)                                 ,0,11400.0,11400.0,11400.0,11100.0,11500.0,11900.0,11500.0,11300.0,11200.0,10900.0,11500.0,11100.0,Rural
2020,Costo diario por familia de 4.26 miembros         ,0,48500.0,48600.0,48600.0,47300.0,49000.0,50600.0,48900.0,48300.0,47600.0,46300.0,48900.0,47200.0,Rural
2020,Costo mensual por familia**                       ,0,1454000.0,1458600.0,1459000.0,1419600.0,1469600.0,1518100.0,1466200.0,1450400.0,1428200.0,1387600.0,1466500.0,1416300.0,Rural
2021,,,,,,,,,,,,,,,Rural
2021,Tortillas                                         ,402,0.5,0.51,0.52,0.51,0.52,0.53,0.53,0.54,0.53,0.57,0.56,0.55,Rural
2021,Arroz                                             ,39,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,Rural
2021,Carnes 1_ /                                       ,14,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,Rural
2021,Grasas 2 _ /                                      ,14,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Rural
2021,Huevos                                            ,30,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,Rural
2021,Leche Fluida *                                    ,31,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,Rural
2021,Frutas 3_ /                                       ,16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,Rural
2021,Frijoles                                          ,60,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,Rural
2021,Azúcar                                            ,65,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,Rural
2021,Costo diario por persona                          ,0,10100.0,10200.0,10300.0,10200.0,10300.0,10400.0,10300.0,10500.0,10500.0,10900.0,10900.0,10800.0,Rural
2021,más 10% (cocción)                                 ,0,11100.0,11200.0,11300.0,11200.0,11400.0,11400.0,11400.0,11600.0,11500.0,12000.0,12000.0,11900.0,Rural
2021,Costo diario por familia de 4.26 miembros         ,0,47200.0,47900.0,48200.0,47900.0,48400.0,48800.0,48400.0,49400.0,49000.0,51200.0,51100.0,50600.0,Rural
2021,Costo mensual por familia**                       ,0,1416800.0,1436700.0,1447100.0,1437700.0,1450900.0,1463100.0,1453400.0,1480900.0,1471200.0,1535500.0,1532000.0,1518800.0,Rural
2022,,,,,,,,,,,,,,,Rural
2022,Tortillas                                         ,402,0.5808,0.572,0.5798,0.6148,0.5939,0.6533,0.681,0.6895,0.6511,0.7067,0.6954,0.6815,Rural
2022,Arroz                                             ,39,0.0538,0.0537,0.0549,0.0552,0.0569,0.0573,0.0598,0.0594,0.0596,0.0594,0.0589,0.0575,Rural
